org_ein,state,state_name,name,address,city,fips,ruledate,nteecc,region,division
010274725,ME,Maine,THE OPPORTUNITY ALLIANCE,50 LYDIA LN,SO PORTLAND,23005,1965,P20,Northeast,New England
010275156,ME,Maine,WESTERN MAINE COMMUNITY ACTION INC,PO BOX 200,EAST WILTON,NA,1966,P20,Northeast,New England
010277678,ME,Maine,KENNEBEC VALLEY COMMUNITY ACTION PROGRAM,97 W ST,WATERVILLE,23011,1965,P20,Northeast,New England
010281875,ME,Maine,EASTERN MAINE DEVELOPMENT CORPORATION,40 HARLOW STREET,BANGOR,23019,1994,S30,Northeast,New England
010287624,ME,Maine,H O M E INC,PO BOX 10,ORLAND,23009,1971,P29,Northeast,New England
010315296,ME,Maine,AVESTA HOUSING DEVELOPMENT CORPORATION,307 CUMBERLAND AVE,PORTLAND,23005,1976,L22,Northeast,New England
010315732,ME,Maine,MIDCOAST MAINE COMMUNITY ACTION,34 WING FARM PKWY,BATH,23023,1973,P20,Northeast,New England
010347504,ME,Maine,COASTAL ENTERPRISES INC,30 FEDERAL ST,BRUNSWICK,23005,1978,S43,Northeast,New England
010353284,ME,Maine,MATTAWAMKEAG HOUSING CORP,4 UNION PLZ STE 9,BANGOR,23019,1983,L80,Northeast,New England
010355563,ME,Maine,MAINE DEVELOPMENT FOUNDATION,2 BEECH ST UNIT 203,HALLOWELL,23011,1978,S30,Northeast,New England
010367546,ME,Maine,THE HOUSING FOUNDATION,353 MAIN ST,ORONO,23019,1979,L21,Northeast,New England
010373230,ME,Maine,LEWISTON-AUBURN ECONOMIC GROWTH COUNCIL,415 LISBON ST STE 100,LEWISTON,23001,1981,S30,Northeast,New England
010376239,ME,Maine,STELLA MARIS HOUSING DEVELOPMENT CORP,148 BROADWAY,ROCKLAND,23013,1981,L21,Northeast,New England
010403876,ME,Maine,HOUSING FOUNDATION,353 MAIN ST,ORONO,23019,1979,L22,Northeast,New England
010409428,ME,Maine,SCARBOROUGH ECONOMIC DEVELOPMENT CORP,PO BOX 550,SCARBOROUGH,23005,1988,S31,Northeast,New England
010418917,ME,Maine,PREBLE STREET,38 PREBELE STREET 3RD FLOOR,PORTLAND,23005,1990,P30,Northeast,New England
010424969,ME,Maine,COMMUNITY CONCEPTS INCORPORATED,240 BATES ST,LEWISTON,23001,1988,S80,Northeast,New England
010432056,ME,Maine,WESTERN MOUNTAINS ALLIANCE,165 FRONT ST,FARMINGTON,23007,1990,S32,Northeast,New England
010449761,ME,Maine,FREEPORT HOUSING TRUST INC,24 SOUTH ST OFC A,FREEPORT,23005,1990,L20,Northeast,New England
010454046,ME,Maine,ISLE AU HAUT COMMUNITY DEVELOPMENT CORPORATION,PO BOX 99,ISLE AU HAUT,23013,1991,L20,Northeast,New England
010462712,ME,Maine,LEWISTON-AUBURN AREA HOUSING DEVELOPMENT CORPORATION,1 COLLEGE ST,LEWISTON,23001,1992,L20,Northeast,New England
010469745,ME,Maine,DIXFIELD DEVELOPMENT CORPORATION,NA,RUMFORD,23017,1994,S20,Northeast,New England
010472964,ME,Maine,BIDDEFORD SACO AREA ECONOMIC DEVELOPMENT CORPORATION,190 MAIN ST 3RD FL,SACO,23031,1993,S30,Northeast,New England
010482400,ME,Maine,COURTYARD AFFORDABLE HOUSING CORP,C/O C C REALTY MANAGEMENT,AUGUSTA,23011,1993,L21,Northeast,New England
010484654,ME,Maine,PEABODY HOUSE INC,NA,PORTLAND,23005,1994,L99,Northeast,New England
010485474,ME,Maine,TELESIS HOUSING CORPORATION,PO BOX 1123,PORTLAND,23005,1994,L50,Northeast,New England
010490195,ME,Maine,COMMUNITY HOUSING OF MAINE INC,ONE CITY CENTER 4TH FLOOR,PORTLAND,23005,1994,L40,Northeast,New England
010493897,ME,Maine,SUNRISE COUNTY ECONOMIC COUNCIL,7 AMES WAY,MACHIAS,23029,1995,S31,Northeast,New England
010495250,ME,Maine,INGRAHAM HOUSING CORPORATION INC,50 LYDIA LN,S PORTLAND,23005,1995,L50,Northeast,New England
010495262,ME,Maine,SHAW HOUSE,PO BOX 1578,BANGOR,23019,1995,P30,Northeast,New England
010525140,ME,Maine,FAIR TIDE INC,15 STATE RD,KITTERY,23031,1999,L41,Northeast,New England
010525470,ME,Maine,WESTERN MAINE DEVELOPMENT ASSOCIATION,NA,NORWAY,23017,2000,S30,Northeast,New England
010533179,ME,Maine,FREEMAN FOREST HOUSING CORPORATION,PO BOX 2219,BANGOR,23019,2004,L50,Northeast,New England
010538683,ME,Maine,EMC AFFORDABLE HOUSING PRESERVATION,752 MAIN ST,WESTBROOK,23005,2001,L50,Northeast,New England
010539222,ME,Maine,MAINESTREAM FINANCE,PO BOX 1162,BANGOR,23019,2001,S43,Northeast,New England
010544468,ME,Maine,FOUR DIRECTIONS DEVELOPMENT CORPORATION,20 GODFREY DR,ORONO,23019,2002,L20,Northeast,New England
010563728,NH,New Hampshire,COVERED BRIDGE AFFORDABLE HOUSING CORPORATION,62 WHITTIER ST,DOVER,33017,2002,L50,Northeast,New England
010581489,FL,Florida,NEIGHBORHOOD LENDING PARTNERS INC,3615 W SPRUCE ST,TAMPA,12057,2002,L80,South,South Atlantic
010594671,VA,Virginia,GILEAD COMMUNITY DEVELOPMENT CORPORATION INC,8660 POCAHONTAS TRL,WILLIAMSBURG,51095,2011,S20,South,South Atlantic
010625783,MI,Michigan,REO TOWN COMMERCIAL ASSOCIATION,222 E ELM ST,LANSING,26065,2003,S20,Midwest,East North Central
010638984,FL,Florida,WEALTH WATCHERS INC,5310 LENOX AVE STE 4,JACKSONVILLE,12031,2002,L22,South,South Atlantic
010639086,RI,Rhode Island,BLACKSTONE VALLEY HOUSING DEVELOPMENT CORP,679 SOCIAL ST,WOONSOCKET,44007,2003,L21,Northeast,New England
010687154,PA,Pennsylvania,NORTHEASTERN ECONOMIC DEVELOPMENT COMPANY OF PA CDC INC,4000 4TH STREET,MOOSIC,42069,2002,S30,Northeast,Middle Atlantic
010701611,MI,Michigan,VISION HOPE COMMUNITY DEVELOPMENT CORPORATION INC,31700 COUCHEZ ST,ST CLR SHORES,26099,2003,S20,Midwest,East North Central
010721933,NJ,New Jersey,NEW LIFE COMMUNITY DEVELOPMENT CORP,1721 HADDON AVE,CAMDEN,34007,2004,S20,Northeast,Middle Atlantic
010732253,MN,Minnesota,WHITE EARTH INVESTMENT INITIATIVE,516 MAIN ST W,OGEMA,27005,2003,S30,Midwest,West North Central
010740130,CA,California,RIO HONDO COMMUNITY DEVELOPMENT CORPORATION,11706 RAMONA BLVD STE 107,EL MONTE,6037,2003,S20,West,Pacific
010793507,SC,South Carolina,SOUTH CAROLINA COMMUNITY LOAN FUND,1051 GARDNER RD STE A,CHARLESTON,45019,2004,L99,South,South Atlantic
010806304,PA,Pennsylvania,PENNSYLVANIA AFFORDABLE HOUSING CORPORATION,2009 MACKENZIE WAY STE 100,CRANBERRY TWP,42003,2007,L50,Northeast,Middle Atlantic
010815503,MA,Massachusetts,PLYMOUTH BAY HOUSING CORPORATION,130 COURT ST,PLYMOUTH,25023,2006,L50,Northeast,New England
010851864,NY,New York,SECOND CHANCE MINISTRIES COMMUNITY DEVELOPMENT CORP INC,381 E FERRY ST,BUFFALO,36029,2007,S20,Northeast,Middle Atlantic
010852709,CA,California,PAVING THE WAY FOUNDATION,44818 FERN AVE STE 105,LANCASTER,6037,2018,L41,West,Pacific
010863576,GA,Georgia,JANICE BARNETT MINISTRIES INCORPORATED,1415 HWY 85 N,FAYETTEVILLE,13113,2007,P99,South,South Atlantic
010893778,MN,Minnesota,WILLMAR AREA MULTICULTURAL BUSINESS CENTER,222 20TH ST SE,WILLMAR,27067,2008,S20,Midwest,West North Central
010951147,MO,Missouri,BUILDERS DEVELOPMENT CORPORATION,600 E 103RD ST,KANSAS CITY,29095,2010,S20,Midwest,West North Central
016019896,ME,Maine,COASTAL COMMUNITY ACTION PROGRAM,NA,ROCKLAND,23013,1990,P20,Northeast,New England
016020406,ME,Maine,YORK COUNTY COMMUNITY ACTION CORP,6 SPRUCE ST,SANFORD,23031,1968,P20,Northeast,New England
016020566,ME,Maine,WALDO COMMUNITY ACTION PARTNERS,PO BOX 130,BELFAST,23027,1965,P28,Northeast,New England
016023748,ME,Maine,PENQUIS C A P INC,262 HARLOW ST,BANGOR,NA,1990,P20,Northeast,New England
020271288,NH,New Hampshire,FELLOWSHIP HOUSING OPPORTUNITIES INC,36 PLEASANT ST,CONCORD,33013,1967,S82,Northeast,New England
020318035,VT,Vermont,NORTHERN COMMUNITY INVESTMENT CORP,51 DEPOT SQ STE 2,ST JOHNSBURY,50005,1975,S31,Northeast,New England
020350170,NH,New Hampshire,GRANITE STATE INDEPENDENT LIVING,PO BOX 7268,CONCORD,33013,1980,P80,Northeast,New England
020351932,NH,New Hampshire,HARBOR HOMES INC,77 NORTHEASTERN BLVD,NASHUA,33011,1985,L21,Northeast,New England
020364019,NH,New Hampshire,KEENE DOWNTOWN HOUSING CORPORATION,PO BOX 705,KEENE,33005,1982,L20,Northeast,New England
020370974,NH,New Hampshire,NEWMARKET COMMUNITY DEVELOPMENT CORP,PO BOX 313,NEWMARKET,33015,1984,S31,Northeast,New England
020373020,NH,New Hampshire,HARBOR HOMES II INC,77 NORTHEASTERN BLVD,NASHUA,33011,1983,L21,Northeast,New England
020418158,NH,New Hampshire,CHESHIRE HOUSING TRUST INC,168 CASTLE ST,KEENE,33005,1989,L20,Northeast,New England
020426348,NH,New Hampshire,LACONIA AREA COMMUNITY LAND TRUST,193 COURT ST,LACONIA,33001,1990,L20,Northeast,New England
020427331,NH,New Hampshire,HOUSING PARTNERSHIP,767 ISLINGTON ST STE 2D,PORTSMOUTH,33015,1989,L20,Northeast,New England
020433505,NH,New Hampshire,CONCORD AREA TRUST FOR COMMUNITY HOUSING,105 LOUDON ROAD UNIT 1,CONCORD,33013,1994,L20,Northeast,New England
020444364,NH,New Hampshire,CONTOOCOOK HOUSING TRUST,PO BOX 216,NEW IPSWICH,33011,1991,L20,Northeast,New England
020452666,NH,New Hampshire,TWIN RIVERS COMMUNITY CORPORATION,PO BOX 1016,CONCORD,33013,1992,L20,Northeast,New England
020455301,NH,New Hampshire,MANCHESTER NEIGHBORHOOD HOUSING SERVICES INC,801 ELM STREET 2ND FLOOR,MANCHESTER,33011,1992,L20,Northeast,New England
020483387,NH,New Hampshire,SOMERSWORTH COMMUNITY DEVELOPMENT CORPORATION,25 BARTLETT AVE STE A,SOMERSWORTH,33017,1996,S20,Northeast,New England
020502885,NH,New Hampshire,CONCORD HOUSING DEVELOPMENT CORP,23 GREEN ST,CONCORD,33013,2002,L20,Northeast,New England
020531034,FL,Florida,GREATER MT CARMEL DEVELOPEMENT CORPORATION,PO BOX 311717,TAMPA,12057,2002,P30,South,South Atlantic
020549245,MA,Massachusetts,ISLAND HOUSING TRUST CORPORATION,PO BOX 779,WEST TISBURY,25007,2002,L50,Northeast,New England
020591170,IN,Indiana,COMMUNITY ACTION OF SOUTHERN INDIANA INC,1613 E 8TH ST,JEFFERSONVLLE,18019,2006,S20,Midwest,East North Central
020620273,FL,Florida,NEW URBAN COMMUNITY DEVELOPMENT CORPORATION INC,1700 N AUSTRALIAN AVE,WEST PALM BCH,12099,2002,S20,South,South Atlantic
020622034,MD,Maryland,DIVERSIFIED HOUSING DEVELOPMENT INC,8025 LIBERTY RD,WINDSOR MILL,24005,2006,L21,South,South Atlantic
020650286,MD,Maryland,DULANEY STATION COMMUNITY HOUSING DEVELOPMENT ORGANIZATION INC,1925 GREENSPRING DRIVE,TIMONIUM,24005,2007,L21,South,South Atlantic
020698186,SC,South Carolina,HAVE FAITH COMMUNITY DEVELOPMENT CORPORATION,PO BOX 337,ALCOLU,45027,2003,S20,South,South Atlantic
020749992,IA,Iowa,SOUTHWEST IOWA HOUSING TRUST FUND INC,1501 SW 7TH ST,ATLANTIC,19029,2007,L122,Midwest,West North Central
020812143,MS,Mississippi,GULF COAST HOUSING INITIATIVE INC,1012 DIVISION ST,BILOXI,28047,2009,L21,South,East South Central
026013808,NH,New Hampshire,SOUTHWESTERN COMMUNITY SERVICES INC,PO BOX 603,KEENE,33005,1966,P28,Northeast,New England
030216254,VT,Vermont,CAPSTONE COMMUNITY ACTION INC,20 GABLE PL,BARRE,50023,1965,P20,Northeast,New England
030216505,VT,Vermont,BROC-COMMUNITY ACTION IN SOUTHWESTERN VERMONT,45 UNION ST,RUTLAND,50021,1972,S20,Northeast,New England
030216740,VT,Vermont,SOUTHEASTERN VERMONT COMMUNITY ACTION INC,91 BUCK DR,WESTMINSTER,50025,1976,P20,Northeast,New England
030216837,VT,Vermont,CHAMPLAIN VALLEY OFFICE OF ECONOMIC OPPORTUNITY INC,PO BOX 1603,BURLINGTON,50007,1966,S20,Northeast,New England
030264362,VT,Vermont,CATHEDRAL SQUARE CORPORATION,412 FARRELL ST STE 100,S BURLINGTON,50007,1977,L22,Northeast,New England
030276709,VT,Vermont,NORTH EAST KINGDOM COMMUNITY ACTION INC,PO BOX 346,NEWPORT,50019,1980,P20,Northeast,New England
030280726,VT,Vermont,HOUSING TRUST OF RUTLAND COUNTY INC,13 CENTER ST APT 2,RUTLAND,50021,1981,L20,Northeast,New England
030285606,VT,Vermont,COMMITTEE ON TEMPORARY SHELTER,PO BOX 1616,BURLINGTON,50007,1984,L41,Northeast,New England
030296512,VT,Vermont,LAKE CHAMPLAIN HOUSING DEVELOPMENT CORPORATION,NA,BURLINGTON,50007,1985,L25,Northeast,New England
030301520,VT,Vermont,GILMAN HOUSING TRUST INC,PO BOX 259,LYNDONVILLE,50005,1986,L21,Northeast,New England
030301526,VT,Vermont,RUTLAND WEST NEIGHBORHOOD HOUSING SERVICES INC,110 MARBLE STREET,WEST RUTLAND,50021,1986,L20,Northeast,New England
030305214,VT,Vermont,THE HOUSING FOUNDATION INCORPORATED,PO BOX 157,MONTPELIER,50023,1987,L21,Northeast,New England
030315075,VT,Vermont,HOUSING VERMONT,100 BANK ST STE 400,BURLINGTON,50007,1989,L20,Northeast,New England
030318795,VT,Vermont,ROCKINGHAM AREA COMMUNITY LAND TRUST INC,C/O SEVCA 91 BUCK DRIVE,WESTMINISTER,50025,1989,L20,Northeast,New England
030318824,VT,Vermont,SPRINGFIELD HOUSING UNLIMITED,80 MAIN STREET,SPRINGFIELD,50027,1990,L80,Northeast,New England
030325779,VT,Vermont,CHAMPLAIN VALLEY MUTUAL HOUSING FEDERATION INC,NA,BURLINGTON,50007,1991,L50,Northeast,New England
030337709,VT,Vermont,RANDOLPH AREA COMMUNITY DEVELOPMENT CORPORATION,PO BOX 409,RANDOLPH,50017,1994,S30,Northeast,New England
030340615,VT,Vermont,CHITTENDEN HOUSING CORPORATION,C/O WINOOSKI HOUSING AUTH 83 BARLOW,WINOOSKI,50007,1994,L20,Northeast,New England
030347212,VT,Vermont,BRADFORD COMMUNITY DEVELOPMENT CORPORATION,PO BOX 852,BRADFORD,50017,1996,S20,Northeast,New England
030347917,VT,Vermont,BRATTLEBORO AREA AFFORDABLE HOUSING CORPORATION,72 GREEN RIVER RD,GUILFORD,50025,1995,L50,Northeast,New England
030374933,NY,New York,HOPE INITIATIVES CDC INCORPORATED,506 W BROAD ST,ROCHESTER,36055,2002,S20,Northeast,Middle Atlantic
030403629,GA,Georgia,D A S H FOR LAGRANGE INC,301 W BROOME ST STE 101,LAGRANGE,13285,2002,L012,South,South Atlantic
030406267,DC,District of Columbia,KENNEDY INSTITUTE HOUSING CORPORATION II,801 BUCHANAN ST NE,WASHINGTON,11001,2002,L50,South,South Atlantic
030418327,TX,Texas,SAN ANTONIO FIGHTING BACK INC,2803 E COMMERCE ST,SAN ANTONIO,48029,2002,S20,South,West South Central
030433655,NE,Nebraska,NORFOLK HOUSING DEVELOPMENT CORPORATION,110 N 4TH ST,NORFOLK,31119,2002,L21,Midwest,West North Central
030433895,MO,Missouri,SOUTHVIEW HOUSING CORPORATION,200 N COLLEGE ST,RICHMOND,29177,2002,L50,Midwest,West North Central
030433925,MO,Missouri,SPRUCE LANDING HOUSING CORPORATION,1505 NE PARVIN RD NO 152,KANSAS CITY,29095,2003,L50,Midwest,West North Central
030456313,PA,Pennsylvania,MCKEESPORT NEIGHBORHOOD INITIATIVES INC,502 5TH AVE STE 301,MCKEESPORT,42003,2005,L82,Northeast,Middle Atlantic
030460207,TX,Texas,MCMULLEN COUNTY COMMUNITY DEVELOPMENT CORPORATION,PO BOX 103,TILDEN,48311,2004,S20,South,West South Central
030461881,OH,Ohio,OHIO MULTI-COUNTY DEVELOPMENT CORPORATION,725 E MARKET ST,AKRON,39153,2002,S20,Midwest,East North Central
030463073,MD,Maryland,THOMAS HOUSING DEVELOPMENT CORPORATION,12200 TECH RD STE 330,SILVER SPRING,24031,2002,L21,South,South Atlantic
030473181,OR,Oregon,ADELANTE MUJERES,2030 MAIN ST STE A,FOREST GROVE,41067,2003,P84,West,Pacific
030494844,MA,Massachusetts,COMMON GROUND DEVELOPMENT CORPORATION,155 MERRIMACK ST,LOWELL,25017,2004,L21,Northeast,New England
030496558,NJ,New Jersey,IMPACT COMMUNITY DEVELOPMENT CORPORATION,C/O CHRIST CHURCH AND SUBSIDIARIES,ROCKAWAY,34013,2003,S20,Northeast,Middle Atlantic
030512382,SC,South Carolina,MARION-DILLON-FLORENCE CDC INC,PO BOX 588,MULLINS,45067,2004,L21,South,South Atlantic
030517961,LA,Louisiana,NEW ORLEANS REDEVELOPMENT UNLIMITED INC,1409 ORETHA CASTLE HALEY BLVD,NEW ORLEANS,22071,2005,L22,South,West South Central
030522656,CA,California,HOUSING WORKS,1277 WILCOX AVE,LOS ANGELES,6037,2004,L20,West,Pacific
030551530,CA,California,LIGHTHOUSE RESCUE MISSION,PO BOX 1453,TULARE,6107,2005,L41,West,Pacific
030589352,IL,Illinois,OUTREACH CHRISTIAN COMMUNITY DEVELOPMENT CORP,200 W 147TH ST,HARVEY,17031,2018,S20,Midwest,East North Central
030594239,TN,Tennessee,GENESIS COMMUNITY DEVELOPMENT CORP,PO BOX 3188,JACKSON,47113,2007,S20,South,East South Central
030596955,PA,Pennsylvania,GIRARD LUTHERAN HOUSING CORPORATION,440 LINCOLN AVE,PITTSBURGH,42003,2007,L50,Northeast,Middle Atlantic
036010485,VT,Vermont,THE BRATTLEBORO DEVELOPMENT CREDIT CORPORATION,76 COTTON MILL HILL UNIT C1,BRATTLEBORO,50025,2017,P51,Northeast,New England
042104319,MA,Massachusetts,ROGERSON COMMUNITIES,1 FLORENCE ST,BOSTON,25025,1962,P20,Northeast,New England
042304133,MA,Massachusetts,ACTION FOR BOSTON COMMUNITY DEVELOPMENT,178 TREMONT ST,BOSTON,25025,1964,P20,Northeast,New England
042313571,MA,Massachusetts,HARBORLIGHT COMMUNITY PARTNERS,PO BOX 507,BEVERLY,25009,1982,L22,Northeast,New England
042324773,MA,Massachusetts,COMMUNITY BUILDERS INC,185 DARTMOUTH ST,BOSTON,25025,1964,L21,Northeast,New England
042376180,MA,Massachusetts,SELF HELP INC,780 W MAIN ST,AVON,25021,1966,P20,Northeast,New England
042378175,MA,Massachusetts,CAMBRIDGE ECONOMIC OPPORTUNITY COMMITTEE INC,11 INMAN ST,CAMBRIDGE,25017,1965,P20,Northeast,New England
042378885,MA,Massachusetts,LEO INC,156 BROAD STREET,LYNN,25009,1967,P40,Northeast,New England
042382027,MA,Massachusetts,COMMUNITY TEAMWORK INC 1,155 MERRIMACK ST,LOWELL,25017,1966,P20,Northeast,New England
042383153,MA,Massachusetts,COMMUNITY ACTION INC,3 WASHINGTON SQ STE 4,HAVERHILL,25009,1983,P20,Northeast,New England
042384972,MA,Massachusetts,COMMUNITY ACTION PIONEER VALLEY INC,393 MAIN STREET,GREENFIELD,25011,1966,S20,Northeast,New England
042385280,MA,Massachusetts,NORTH SHORE COMMUNITY ACTION PROGRAMS INC,119 REAR FOSTER STREET,PEABODY,25009,1976,P99,Northeast,New England
042389659,MA,Massachusetts,SOUTH MIDDLESEX OPPORTUNITY COUNCIL INC,7 BISHOP ST,FRAMINGHAM,25017,1966,P20,Northeast,New England
042391348,MA,Massachusetts,QUINCY COMMUNITY ACTION PROGRAMS INC,1509 HANCOCK STREET,QUINCY,25021,1966,S20,Northeast,New England
042396698,MA,Massachusetts,HAMPSHIRE COMMUNITY ACTION,DAVID KIELSON,WEST CHESTERFIELD,25015,1966,P20,Northeast,New England
042428915,MA,Massachusetts,COMMUNITY ACTION PROGRAMS INTER-CITY INC,100 EVERETT AVE STE 14,CHELSEA,25025,1967,P99,Northeast,New England
042437845,MA,Massachusetts,HALEY HOUSE INC,23 DARTMOUTH ST,BOSTON,25025,1968,L41,Northeast,New England
042454675,MA,Massachusetts,RCAP SOLUTIONS INC,191 MAY ST,WORCESTER,25027,1971,L99,Northeast,New England
042455301,MA,Massachusetts,ECUMENICAL SOCIAL ACTION COMMITTEE INC,PO BOX 301749,JAMAICA PLAIN,25025,1969,P20,Northeast,New England
042457732,MA,Massachusetts,INTERSEMINARIAN-PROJECT PLACE INC,1145 WASHINGTON STREET,BOSTON,25025,1969,P85,Northeast,New England
042476258,MA,Massachusetts,ASIAN AMERICAN CIVIC ASSOCIATION INC,87 TYLER ST,BOSTON,25025,1971,P84,Northeast,New England
042478888,MA,Massachusetts,2LIFE COMMUNITIES INC,30 WALLINGFORD ROAD,BRIGHTON,25025,1968,L22,Northeast,New England
042483221,MA,Massachusetts,BERKSHIRE FUND INC,PO BOX 1180,PITTSFIELD,25003,1973,L21,Northeast,New England
042483322,MA,Massachusetts,BERKSHIRE HOUSING DEVELOPMENT CORP,1 FENN ST STE 3,PITTSFIELD,25003,2015,L21,Northeast,New England
042514349,MA,Massachusetts,ANCHORAGE INC,221 CABOT ST,BEVERLY,25009,1973,P80,Northeast,New England
042516093,MA,Massachusetts,PINE STREET INN INC,434 HARRISON AVE,BOSTON,25025,1974,L41,Northeast,New England
042518368,MA,Massachusetts,WAY FINDERS INC,120 MAPLE ST,SPRINGFIELD,25013,1994,L21,Northeast,New England
042519279,MA,Massachusetts,HOMEOWNERS REHAB INC,280 FRANKLIN ST,CAMBRIDGE,25017,1975,L80,Northeast,New England
042529221,MA,Massachusetts,SOUTH WORCESTER NEIGHBORHOOD IMPROVEMENT CORPORATION,47 CAMP ST,WORCESTER,25027,1974,S22,Northeast,New England
042531287,MA,Massachusetts,LENA PARK COMMUNITY DEVELOPMENT,150 AMERICAN LEGION HWY,DORCHESTER,25025,1972,P20,Northeast,New England
042546441,MA,Massachusetts,CENTRAL BOSTON ELDER SERVICES INC,2315 WASHINGTON ST,BOSTON,25025,1974,P81,Northeast,New England
042614551,MA,Massachusetts,CHELSEA RESTORATION CORPORATION,154 PEARL ST,CHELSEA,25025,1981,L25,Northeast,New England
042622178,MA,Massachusetts,BRIGHTWOOD DEVELOPMENT CORP,1113 HAMPDEN STREET,SPRINGFIELD,25013,1979,S31,Northeast,New England
042622751,MA,Massachusetts,JEWISH COMMUNITY HOUSING FOR THE ELDERLY IV INC,30 WALLINGFORD ROAD,BRIGHTON,25025,1977,L22,Northeast,New England
042638453,MA,Massachusetts,ISLAND ELDERLY HOUSING INC,60 B VILLAGE RD,VINEYARD HAVEN,25007,1979,L22,Northeast,New England
042652471,MA,Massachusetts,EASTERN MASSACHUSETTS HOUSING CORPORATION,37 FRIEND ST,LYNN,25009,1978,L80,Northeast,New England
042652919,MA,Massachusetts,JAMAICA PLAIN NEIGHBORHOOD DEVELOPMENT CORPORATION,31 GERMANIA ST,JAMAICA PLAIN,25025,1979,S20,Northeast,New England
042655817,MA,Massachusetts,JOBS FOR FALL RIVER INC,139 SOUTH MAIN STREET NO 400,FALL RIVER,25005,1980,S30,Northeast,New England
042658101,MA,Massachusetts,TRI-CITY COMMUNITY ACTION PROGRAM INC,8 OSBORNE HILL DR,SALEM,25009,1979,P99,Northeast,New England
042658190,MA,Massachusetts,SPRINGFIELD NEIGHBORHOOD HOUSING,111 WILBRAHAM RD,SPRINGFIELD,25013,1979,L81,Northeast,New England
042660283,MA,Massachusetts,THE NEIGHBORHOOD DEVELOPERS INC,4 GERRISH AVE,CHELSEA,25025,1979,L82,Northeast,New England
042666507,MA,Massachusetts,FENWAY COMMUNITY DEVELOPMENT CORP,70 BURBANK STREET,BOSTON,25025,1980,L25,Northeast,New England
042676874,MA,Massachusetts,NORTH COUNTY COMMUNITY DEVELOPMENT CORPORATION,78 BARTLETT AVE,PITTSFIELD,25003,1980,S20,Northeast,New England
042678309,MA,Massachusetts,FRANKLIN COUNTY COMMUNITY,324 WELLS ST,GREENFIELD,25011,1979,S40,Northeast,New England
042681632,MA,Massachusetts,DORCHESTER BAY ECONOMIC DEVELOPMENT CORPORATION,594 COLUMBIA ROAD,DORCHESTER,25025,1980,S31,Northeast,New England
042684781,MA,Massachusetts,TENT CITY CORPORATION,359 COLUMBUS AVE,BOSTON,25025,2014,L20,Northeast,New England
042685432,MA,Massachusetts,BLACKSTONE HOUSING CORPORATION JOSEPH D EARLY VILLAGE,8 1/2 EARLY VLG,BLACKSTONE,25027,1992,L21,Northeast,New England
042686893,MA,Massachusetts,NORTH SHORE COMMUNITY DEVELOPMENT COALITION INC,96 LAFAYETTE ST,SALEM,25009,1980,L112,Northeast,New England
042690210,MA,Massachusetts,NEWVUE COMMUNITIES INC,470 MAIN STREET,FITCHBURG,25027,1982,L20,Northeast,New England
042692763,MA,Massachusetts,VALLEY OPPORTUNITY COUNCIL INC,35 MT CARMEL AVE 2ND FLOOR,CHICOPEE,25013,1980,P20,Northeast,New England
042716278,MA,Massachusetts,ALLSTON BRIGHTON COMM DEV CORP,18R SHEPARD ST UNIT 100,BRIGHTON,25025,1981,S22,Northeast,New England
042716728,MA,Massachusetts,FIELDS CORNER COMMUNITY DEVELOPMENT CORPORATION,ONE ARCADIA PLACE,DORCHESTER,25025,1982,L20,Northeast,New England
042732439,MA,Massachusetts,NEIGHBORHOOD HOUSING SERVICES OF THE SOUTH SHORE INC,422 WASHINGTON ST,QUINCY,25021,1981,L82,Northeast,New England
042732718,MA,Massachusetts,STOW ELDERLY HOUSING CORP,22 JOHNSTON WAY,STOW,25017,1981,L20,Northeast,New England
042733078,MA,Massachusetts,WOMENS INSTITUTE FOR HOUSING AND ECONOMIC DEVELOPMENT INC,15 COURT SQ STE 210,BOSTON,25025,1981,L20,Northeast,New England
042736725,MA,Massachusetts,SOJOURNER HOUSE INC,85 ROCKLAND ST,ROXBURY,25025,1981,L41,Northeast,New England
042737054,MA,Massachusetts,BROOKLINE IMPROVEMENT COALITION INC,PO BOX 470441,BROOKLINE VLG,25021,1983,L30,Northeast,New England
042741009,MA,Massachusetts,HILLTOWN COMMUNITY DEVELOPMENT,387 MAIN ROAD BOX 17,CHESTERFIELD,25015,1992,S32,Northeast,New England
042741543,MA,Massachusetts,NUESTRA COMUNIDAD DEVELOPMENT CORP,56 WARREN STREET NO 200,ROXBURY,25025,1982,L21,Northeast,New England
042743779,MA,Massachusetts,MADISON PARK HOUSING CORPORATION,184 DUDLEY STREET,ROXBURY,25025,1981,L80,Northeast,New England
042748880,MA,Massachusetts,LITTLE SISTERS OF THE ASSUMPTION FAMILY HEALTH SERVICES INCORPORATE,550 DUDLEY ST,ROXBURY,25025,1982,P40,Northeast,New England
042752507,MA,Massachusetts,CODMAN SQUARE NEIGHBORHOOD DEVELOPMENT CORPORATION,587 WASHINGTON ST,DORCHESTER,25025,1982,L20,Northeast,New England
042755270,MA,Massachusetts,E B C D C INC,72 MARGINAL STREET,EAST BOSTON,25025,1980,S20,Northeast,New England
042755382,MA,Massachusetts,LAZARUS HOUSE INCORPORATED,412 HAMPSHIRE ST,LAWRENCE,25009,1986,L41,Northeast,New England
